artistName,albumName,trackName,time
Frank Ocean,Blonde,Futura Free,2023-02-22
Yung Lean,Lavender,Ginseng Strip 2002,2023-02-22
Frank Ocean,Lens,Lens,2023-02-22
Frank Ocean,channel ORANGE,Pyramids,2023-02-22
A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),Hell (feat. Santigold),2023-02-22
Björk,Vespertine,Aurora,2023-02-22
Frank Ocean,Blonde,Nikes,2023-02-22
Björk,Vespertine,Frosti,2023-02-22
Björk,Vespertine,Unison,2023-02-22
A$AP Rocky,D.M.B.,D.M.B.,2023-02-22
Björk,Vespertine,An Echo a Stain,2023-02-22
BROCKHAMPTON,SATURATION,FACE,2023-02-22
Earl Sweatshirt,Doris,Sunday (feat. Frank Ocean),2023-02-22
Yung Lean,Total Eclipse,Smirnoff Ice,2023-02-22
A$AP Rocky,TESTING,Fukk Sleep (feat. FKA twigs),2023-02-22
FKA twigs,MAGDALENE,sad day,2023-02-22
Yung Lean,Stardust,Gold,2023-02-22
Björk,Vespertine,Sun in My Mouth,2023-02-22
Yung Lean,Unknown Death 2002,Hurt,2023-02-22
Tyler The Creator,CALL ME IF YOU GET LOST,SIR BAUDELAIRE (feat. DJ Drama),2023-02-22
Tyler The Creator,CALL ME IF YOU GET LOST,CORSO,2023-02-22
Tyler The Creator,CALL ME IF YOU GET LOST,LEMONHEAD (feat. 42 Dugg),2023-02-22
Tyler The Creator,CALL ME IF YOU GET LOST,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),2023-02-22
Tyler The Creator,CALL ME IF YOU GET LOST,LUMBERJACK,2023-02-22
Tyler The Creator,CALL ME IF YOU GET LOST,HOT WIND BLOWS (feat. Lil Wayne),2023-02-22
Tyler The Creator,CALL ME IF YOU GET LOST,MASSA,2023-02-22
Tyler The Creator,CALL ME IF YOU GET LOST,RUNITUP (feat. Teezo Touchdown),2023-02-22
Aaliyah,Age Ain't Nothing But A Number,At Your Best (You Are Love),2023-02-22
Little Simz,NO THANK YOU,Angel,2023-02-22
Little Simz,NO THANK YOU,Silhouette,2023-02-22
Frank Ocean,Blonde,Pretty Sweet,2023-02-22
Yung Lean,Stranger,Red Bottom Sky,2023-02-22
Björk,Vespertine,It's Not up to You,2023-02-22
BROCKHAMPTON,SATURATION,FACE,2023-02-22
Aaliyah,Age Ain't Nothing But A Number,At Your Best (You Are Love),2023-02-22
Little Simz,NO THANK YOU,Gorilla,2023-02-22
Ms. Lauryn Hill,The Miseducation of Lauryn Hill,"Every Ghetto Every City",2023-02-22
Tyler The Creator,Wolf,IFHY (feat. Pharrell),2023-02-22
Tyler The Creator,IGOR,RUNNING OUT OF TIME,2023-02-22
Frank Ocean,Blonde,White Ferrari,2023-02-22
Frank Ocean,channel ORANGE,Bad Religion,2023-02-22
Frank Ocean,Cayendo (Side A - Acoustic),Cayendo (Side A - Acoustic),2023-02-22
Rihanna,ANTI,Never Ending,2023-02-22
Odd Future,The OF Tape Vol. 2,White (feat. Frank Ocean),2023-02-22
Sufjan Stevens,Cimmerian Shade / You Give Death A Bad Name,Cimmerian Shade,2023-02-22
Tyler The Creator,Flower Boy,November,2023-02-22
Frank Ocean,Blonde,Seigfried,2023-02-22
Rihanna,ANTI,Close To You,2023-02-22
Tyler The Creator,IGOR,PUPPET,2023-02-22
Drake,Views,Feel No Ways,2023-02-22
Tyler The Creator,IGOR,I DON'T LOVE YOU ANYMORE,2023-02-22
Mac DeMarco,This Old Dog,Watching Him Fade Away,2023-02-22
Frank Ocean,Moon River,Moon River,2023-02-22
Frank Ocean,Blonde,Godspeed,2023-02-22
Tyler The Creator,IGOR,"GONE GONE / THANK YOU",2023-02-22
Frank Ocean,Blonde,Close To You,2023-02-22
Tyler The Creator,IGOR,ARE WE STILL FRIENDS?,2023-02-22
Mac DeMarco,Salad Days,Chamber Of Reflection,2023-02-22
Tyler The Creator,IGOR,ARE WE STILL FRIENDS?,2023-02-22
Frank Ocean,Blonde,Close To You,2023-02-22
Kanye West,ye,Ghost Town,2023-02-22
Denzel Curry,Melt My Eyez See Your Future,Melt Session #1 [Feat. Robert Glasper],2023-02-22
Kendrick Lamar,Mr. Morale & The Big Steppers,United In Grief,2023-02-22
Kanye West,ye,I Thought About Killing You,2023-02-22
Kendrick Lamar,Mr. Morale & The Big Steppers,Die Hard,2023-02-22
Kanye West,Graduation,Good Morning,2023-02-22
Mac DeMarco,Salad Days,Salad Days,2023-02-22
Kid Cudi,Speedin' Bullet 2 Heaven,CONFUSED!,2023-02-22
Khamari,Eldorado,Jealous,2023-02-22
Mac DeMarco,Salad Days,Treat Her Better,2023-02-22
Kanye West,808s & Heartbreak,Street Lights,2023-02-22
Mac DeMarco,Salad Days,Passing Out Pieces,2023-02-22
Kid Cudi,Man On The Moon III: The Chosen,"Solo Dolo Pt. III",2023-02-22
Mac DeMarco,Salad Days,Brother,2023-02-22
SZA,Ctrl (Deluxe),Prom,2023-02-22
Khamari,Drifting,Drifting,2023-02-22
Mac DeMarco,Salad Days,Blue Boy,2023-02-22
SZA,Ctrl (Deluxe),20 Something,2023-02-22
Mac DeMarco,Here Comes The Cowboy,Nobody,2023-02-22
Mac DeMarco,Salad Days,Chamber Of Reflection,2023-02-22
Kid Cudi,A Kid Named Cudi,The Prayer,2023-02-22
Frank Ocean,Blonde,Solo,2023-02-22
Bon Iver,Blood Bank,Woods,2023-02-22
Kanye West,808s & Heartbreak,Pinocchio Story,2023-02-22
FKA twigs,MAGDALENE,cellophane,2023-02-22
Quelle Chris,Deathfame,How Could They Love Something Like Me?,2023-02-22
FKA twigs,MAGDALENE,mirrored heart,2023-02-22
Odd Future,The OF Tape Vol. 2,White (feat. Frank Ocean),2023-02-22
Mac DeMarco,Here Comes The Cowboy,K,2023-02-22
Vince Staples,Summertime '06,Summertime,2023-02-22
Björk,Vespertine,Hidden Place,2023-02-23
Björk,Vespertine,Cocoon,2023-02-23
Björk,Homogenic,Hunter,2023-02-23
Frank Ocean,DHL,DHL,2023-02-23
Kendrick Lamar,Mr. Morale & The Big Steppers,Rich Spirit,2023-02-23
Björk,Vespertine,It's Not up to You,2023-02-23
Björk,Homogenic,Hunter,2023-02-23
Björk,Vulnicura,Stonemilker,2023-02-23
Björk,Vulnicura,Lionsong,2023-02-23
Björk,Vulnicura,History of Touches,2023-02-23
Björk,Vulnicura,Black Lake,2023-02-23
Björk,Vulnicura,Family,2023-02-23
Björk,Vulnicura,Notget,2023-02-23
Björk,Vulnicura,Atom Dance,2023-02-23
Björk,Vulnicura,Mouth Mantra,2023-02-23
Tyler The Creator,Flower Boy,Boredom (feat. Rex Orange County & Anna of the North),2023-02-23
Kanye West,ye,Ghost Town,2023-02-23
Denzel Curry,Melt My Eyez See Your Future,Melt Session #1 [Feat. Robert Glasper],2023-02-23
KIDS SEE GHOSTS,KIDS SEE GHOSTS,Reborn,2023-02-23
Frank Ocean,Blonde,White Ferrari,2023-02-23
Frank Ocean,Blonde,Self Control,2023-02-23
Frank Ocean,Blonde,Solo,2023-02-23
Frank Ocean,Blonde,Nights,2023-02-23
Odd Future,The OF Tape Vol. 2,White (feat. Frank Ocean),2023-02-23
Frank Ocean,channel ORANGE,Bad Religion,2023-02-23
A$AP Rocky,TESTING,Purity (feat. Frank Ocean),2023-02-23
Frank Ocean,Dear April (Side A - Acoustic),Dear April (Side A - Acoustic),2023-02-23
Mac DeMarco,Here Comes The Cowboy,Nobody,2023-02-23
Björk,Vespertine,Undo,2023-02-23
FKA twigs,MAGDALENE,thousand eyes,2023-02-23
FKA twigs,MAGDALENE,home with you,2023-02-23
FKA twigs,MAGDALENE,sad day,2023-02-23
FKA twigs,MAGDALENE,holy terrain,2023-02-23
FKA twigs,MAGDALENE,mary magdalene,2023-02-23
FKA twigs,MAGDALENE,fallen alien,2023-02-23
FKA twigs,MAGDALENE,mirrored heart,2023-02-23
FKA twigs,MAGDALENE,daybed,2023-02-23
FKA twigs,MAGDALENE,cellophane,2023-02-23
SZA,Ctrl (Deluxe),Supermodel,2023-02-23
SZA,Ctrl (Deluxe),Love Galore (feat. Travis Scott),2023-02-23
SZA,Ctrl (Deluxe),Doves In The Wind (feat. Kendrick Lamar),2023-02-23
SZA,Ctrl (Deluxe),Drew Barrymore,2023-02-23
SZA,Ctrl (Deluxe),Prom,2023-02-23
SZA,Ctrl (Deluxe),The Weekend,2023-02-23
Frank Ocean,Novacane,Novacane,2023-02-23
Frank Ocean,Swim Good,Swim Good,2023-02-23
Rihanna,ANTI,Pose,2023-02-23
John Mayer,Paradise Valley,Wildfire (feat. Frank Ocean),2023-02-23
Frank Ocean,Blonde,White Ferrari,2023-02-23
Bon Iver,"i,i",iMi,2023-02-23
Bon Iver,"i,i",iMi,2023-02-23
Omar Apollo,Ivory,Ivory,2023-02-23
Omar Apollo,Ivory,Talk,2023-02-23
Omar Apollo,Ivory,No Good Reason,2023-02-23
Omar Apollo,Ivory,Invincible (feat. Daniel Caesar),2023-02-23
Omar Apollo,Ivory,Endlessly Interlude,2023-02-23
Omar Apollo,Ivory,Killing Me,2023-02-23
Rihanna,Music Of The Sun,Pon de Replay,2023-02-23
Rihanna,Unapologetic,Pour It Up,2023-02-23
Rihanna,ANTI,Needed Me,2023-02-23
Drake,"Honestly Nevermind",Massive,2023-02-23
JAY-Z,The Blueprint 3,Run This Town,2023-02-23
Kanye West,The Life Of Pablo,Ultralight Beam,2023-02-23
Kanye West,The Life Of Pablo,Father Stretch My Hands Pt. 1,2023-02-23
Kanye West,The Life Of Pablo,Pt. 2,2023-02-23
Kanye West,The Life Of Pablo,Famous,2023-02-23
Kanye West,The Life Of Pablo,Feedback,2023-02-23
Kanye West,The Life Of Pablo,Low Lights,2023-02-23
Kanye West,The Life Of Pablo,Highlights,2023-02-23
Kanye West,The Life Of Pablo,Freestyle 4,2023-02-23
Kanye West,The Life Of Pablo,I Love Kanye,2023-02-23
Kanye West,The Life Of Pablo,Waves,2023-02-23
Kanye West,The Life Of Pablo,FML,2023-02-23
Travis Scott,Rodeo (Expanded Edition),90210 (feat. Kacy Hill),2023-02-23
Metro Boomin,HEROES & VILLAINS,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],2023-02-23
Travis Scott,ESCAPE PLAN / MAFIA,MAFIA,2023-02-23
Kendrick Lamar,Mr. Morale & The Big Steppers,Silent Hill,2023-02-23
Kendrick Lamar,To Pimp A Butterfly,How Much A Dollar Cost,2023-02-23
Tyler The Creator,Potato Salad,Potato Salad,2023-02-23
Baby Keem,The Melodic Blue,16,2023-02-23
Bon Iver,"i,i",iMi,2023-02-23
FKA twigs,CAPRISONGS,ride the dragon,2023-02-23
Björk,Vespertine,Hidden Place,2023-02-23
FKA twigs,MAGDALENE,mirrored heart,2023-02-23
FKA twigs,MAGDALENE,thousand eyes,2023-02-23
FKA twigs,LP1,Closer,2023-02-23
Björk,Vespertine,Unison,2023-02-23
Quelle Chris,Deathfame,How Could They Love Something Like Me?,2023-02-23
Ice Spice,Like..?,Princess Diana,2023-02-23
Lil Yachty,Let’s Start Here.,pRETTy,2023-02-23
FKA twigs,LP1,Preface,2023-02-23
A$AP Rocky,TESTING,Tony Tone,2023-02-23
Erykah Badu,Mama's Gun,...& On,2023-02-23
Ari Lennox,age/sex/location,Stop By,2023-02-23
Ms. Lauryn Hill,The Miseducation of Lauryn Hill,Doo Wop (That Thing),2023-02-23
Ms. Lauryn Hill,The Miseducation of Lauryn Hill,Lost Ones,2023-02-23
Little Simz,NO THANK YOU,X,2023-02-24
A$AP Rocky,TESTING,Gunz N Butter (feat. Juicy J),2023-02-24
Björk,Vespertine,Cocoon,2023-02-24
A$AP Rocky,TESTING,Hun43rd,2023-02-24
Frank Ocean,DHL,DHL,2023-02-24
A$AP Rocky,TESTING,Distorted Records,2023-02-24
Frank Ocean,Blonde,Futura Free,2023-02-24
Björk,Vespertine,It's Not up to You,2023-02-24
FKA twigs,MAGDALENE,daybed,2023-02-24
FKA twigs,LP1,Numbers,2023-02-24
Ms. Lauryn Hill,The Miseducation of Lauryn Hill,Ex-Factor,2023-02-24
Childish Gambino,"""Awaken My Love!""",Redbone,2023-02-24
Steve Lacy,Apollo XXI,N Side,2023-02-24
Ari Lennox,age/sex/location,POF,2023-02-24
Frank Ocean,channel ORANGE,Sweet Life,2023-02-24
Brent Faiyaz,"Gravity (feat. Tyler The Creator)","Gravity (feat. Tyler The Creator)",2023-02-24
Ari Lennox,Away Message,No Settling,2023-02-24
SZA,SOS,Open Arms (feat. Travis Scott),2023-02-24
Khamari,Eldorado,Other Side,2023-02-24
PinkPantheress,Boy's a liar Pt. 2,Boy's a liar Pt. 2,2023-02-24
Frank Ocean,channel ORANGE,Super Rich Kids,2023-02-24
Doja Cat,Planet Her,You Right,2023-02-24
Childish Gambino,"""Awaken My Love!""",Have Some Love,2023-02-24
Frank Ocean,channel ORANGE,Lost,2023-02-24
Tems,Found (feat. Brent Faiyaz),Found (feat. Brent Faiyaz),2023-02-24
SZA,SOS,Gone Girl,2023-02-24
Drake,Certified Lover Boy,Fountains (with Tems),2023-02-24
SZA,SOS,Blind,2023-02-24
Steve Lacy,Apollo XXI,Hate CD,2023-02-24
SZA,SOS,Nobody Gets Me,2023-02-24
SZA,SOS,Snooze,2023-02-24
Metro Boomin,HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),2023-02-24
SZA,Ctrl (Deluxe),Awkward,2023-02-24
Khamari,Drifting,Drifting,2023-02-24
Omar Apollo,Ivory,Killing Me,2023-02-24
Frank Ocean,channel ORANGE,Sierra Leone,2023-02-24
Brent Faiyaz,MERCEDES,MERCEDES,2023-02-24
The Weeknd,Beauty Behind The Madness,Tell Your Friends,2023-02-24
Beyoncé,RENAISSANCE,PLASTIC OFF THE SOFA,2023-02-24
The Weeknd,Dawn FM,Is There Someone Else?,2023-02-24
SZA,SOS,Ghost in the Machine (feat. Phoebe Bridgers),2023-02-24
Frank Ocean,channel ORANGE,Fertilizer,2023-02-24
Omar Apollo,Ivory,Invincible (feat. Daniel Caesar),2023-02-24
Rihanna,ANTI,Same Ol’ Mistakes,2023-02-24
Steve Lacy,Gemini Rights,Sunshine (feat. Fousheé),2023-02-24
Rihanna,Black Panther: Wakanda Forever - Music From and Inspired By,Born Again,2023-02-24
Brent Faiyaz,Dead Man Walking,Dead Man Walking,2023-02-24
SZA,SOS,Too Late,2023-02-24
Beyoncé,CUFF IT,CUFF IT - WETTER REMIX,2023-02-24
Frank Ocean,channel ORANGE,Pyramids,2023-02-24
SZA,Ctrl (Deluxe),Supermodel,2023-02-24
Ari Lennox,Shea Butter Baby,Whipped Cream,2023-02-24
Rihanna,ANTI,Consideration,2023-02-24
SZA,Ctrl (Deluxe),Normal Girl,2023-02-24
SZA,Good Days,Good Days,2023-02-24
Khamari,Eldorado,The Heat,2023-02-24
Kali Uchis,Por Vida,Melting,2023-02-24
Baby Keem,The Melodic Blue,lost souls (with Brent Faiyaz),2023-02-24
Rihanna,ANTI,Never Ending,2023-02-24
Frank Ocean,channel ORANGE,Forrest Gump,2023-02-24
Frank Ocean,channel ORANGE,Monks,2023-02-24
Tems,For Broken Ears,Free Mind,2023-02-24
Brent Faiyaz,WASTELAND,LOOSE CHANGE,2023-02-24
SZA,Ctrl (Deluxe),Love Galore (feat. Travis Scott),2023-02-24
SZA,Ctrl (Deluxe),Broken Clocks,2023-02-24
SZA,Ctrl (Deluxe),Drew Barrymore,2023-02-24
Kanye West,Donda,24,2023-02-24
Kid Cudi,The Boy Who Flew To The Moon,love.,2023-02-24
KIDS SEE GHOSTS,KIDS SEE GHOSTS,Feel The Love,2023-02-24
Denzel Curry,Melt My Eyez See Your Future,Walkin,2023-02-24
Kali Uchis,Isolation,"After The Storm (feat. Tyler The Creator & Bootsy Collins)",2023-02-24
Steve Lacy,Apollo XXI,Only If,2023-02-24
JAY-Z,4:44,Smile,2023-02-24
Kendrick Lamar,Mr. Morale & The Big Steppers,Mirror,2023-02-24
Daft Punk,Discovery,Digital Love,2023-02-24
Daft Punk,Discovery,Veridis Quo,2023-02-24
Childish Gambino,"""Awaken My Love!""",Me and Your Mama,2023-02-24
Childish Gambino,"""Awaken My Love!""",Boogieman,2023-02-24
Pharrell Williams,Cash In Cash Out,Cash In Cash Out,2023-02-24
Drake,More Than A Game,Forever,2023-02-24
Pusha T,DAYTONA,The Games We Play,2023-02-24
Tyler The Creator,Flower Boy,Who Dat Boy (feat. A$AP Rocky),2023-02-24
Tyler The Creator,CALL ME IF YOU GET LOST,SIR BAUDELAIRE (feat. DJ Drama),2023-02-24
Tyler The Creator,CALL ME IF YOU GET LOST,CORSO,2023-02-24
Tyler The Creator,CALL ME IF YOU GET LOST,LEMONHEAD (feat. 42 Dugg),2023-02-24
Tyler The Creator,CALL ME IF YOU GET LOST,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),2023-02-24
Tyler The Creator,CALL ME IF YOU GET LOST,LUMBERJACK,2023-02-24
Tyler The Creator,CALL ME IF YOU GET LOST,HOT WIND BLOWS (feat. Lil Wayne),2023-02-24
Drake,Her Loss,Rich Flex,2023-02-24
Drake,Her Loss,Major Distribution,2023-02-24
Drake,Her Loss,On BS,2023-02-24
Drake,Her Loss,BackOutsideBoyz,2023-02-24
Drake,Her Loss,Privileged Rappers,2023-02-24
Drake,Her Loss,Spin Bout U,2023-02-24
Drake,Her Loss,Hours In Silence,2023-02-24
Drake,Her Loss,Treacherous Twins,2023-02-24
Drake,Her Loss,Circo Loco,2023-02-24
Tyler The Creator,CALL ME IF YOU GET LOST,MASSA,2023-02-24
Tyler The Creator,CALL ME IF YOU GET LOST,SAFARI,2023-02-24
A$AP Rocky,TESTING,Hun43rd,2023-02-24
Yung Lean,Stranger,Red Bottom Sky,2023-02-24
Vince Staples,Summertime '06,Summertime,2023-02-24
BROCKHAMPTON,SATURATION,FACE,2023-02-24
Björk,Vespertine,It's Not up to You,2023-02-24
FKA twigs,MAGDALENE,daybed,2023-02-24
Yung Lean,Kyoto,Kyoto,2023-02-24
FKA twigs,MAGDALENE,sad day,2023-02-24
Yung Lean,Stranger,Red Bottom Sky,2023-02-24
Yung Lean,Stardust,Nobody else,2023-02-24
Vegyn,Don't Follow Me Because I'm Lost Too!!,Big Fun Never Ending Nightmare [75 BPM],2023-02-24
A$AP Rocky,TESTING,Changes,2023-02-24
John Mayer,Paradise Valley,Wildfire (feat. Frank Ocean),2023-02-24
Björk,Vespertine,Cocoon,2023-02-24
Frank Ocean,Lens,Lens,2023-02-24
